id,label,timeset,users_can_post,link,category,username,talking_about_count,post_activity,fan_count,modularity_class,pageranks
223027781058562,Snowball Express,,yes,https://www.facebook.com/SnowballExpressUSA/,Charity Organization,SnowballExpressUSA,107,0.01,18735,4,5.822603571529043E-4
229335320435955,Hopes NICU Donations,,no,https://www.facebook.com/ForeverOurHope/,Nonprofit Organization,ForeverOurHope,1,0.0,871,4,3.479942379810878E-4
256535474454835,SD Tactical Arms,,yes,https://www.facebook.com/SDTacticalArms/,Gun Store,SDTacticalArms,495,0.05,15083,4,4.308409256254961E-4
214438221997790,U.S. Army Females,,yes,https://www.facebook.com/UsArmyFemales/,Public Figure,UsArmyFemales,106,0.01,38748,4,9.334850021283339E-4
376921005718049,Words To Live By Apparel,,yes,https://www.facebook.com/W2LBApparel/,Clothing Store,W2LBApparel,6,0.0,1303,4,3.479942379810878E-4
506594309408680,Dumb Shit Civilians Say To Veterans,,yes,https://www.facebook.com/Dumb-Shit-Civilians-Say-To-Veterans-506594309408680/,Community,,3,0.0,1564,4,3.479942379810878E-4
480720168671499,MALC Training Institute,,yes,https://www.facebook.com/MALCtraining/,Gun Range,MALCtraining,187,0.03,13960,4,3.479942379810878E-4
403411139732357,Indy PFS,,no,https://www.facebook.com/indy.pfs/,Defense Company,indy.pfs,2,0.0,1211,4,6.437903261042208E-4
603026386408526,CSM Basil L. Plumley Memorial Page,,no,https://www.facebook.com/csmbasilplumley/,Public Figure,csmbasilplumley,123,0.0,11559,4,4.805291024534194E-4
401012386641053,249th Transportation Company,,yes,https://www.facebook.com/249thTransportationCompany/,Armed Forces,249thTransportationCompany,1,0.01,386,4,3.479942379810878E-4
610427408976514,R.I.P Lance Corporal Jamie Webb Our Hero,,yes,https://www.facebook.com/riplancecorporaljamiewebbourhero/,Public Figure,riplancecorporaljamiewebbourhero,21,0.0,38236,4,5.041001715353441E-4
245226608847942,Military Luggage Company,,yes,https://www.facebook.com/militaryluggage/,Local Business,militaryluggage,12636,0.2,442650,4,6.428604181789876E-4
393149560777746,Afghan National Security Forces,,yes,https://www.facebook.com/1ANSF/,Government Organization,1ANSF,242,0.01,23234,4,3.479942379810878E-4
585567831477867,I am an American Soldier,,yes,https://www.facebook.com/americansoldieron/,Cause,americansoldieron,677887,0.01,44743,4,4.815290847659943E-4
605440052816262,Patriot Patrol Base,,yes,https://www.facebook.com/PatriotPatrolBase/,Community,PatriotPatrolBase,7,0.0,7199,4,3.479942379810878E-4
495704160440740,BullDawgDesign,,yes,https://www.facebook.com/BullDawgDesign/,Product/Service,BullDawgDesign,0,0.0,317,4,3.479942379810878E-4
129868660418999,Don't Tread On Me,,yes,https://www.facebook.com/DontTreadOnMe.LibertyOrDeath/,Political Organization,DontTreadOnMe.LibertyOrDeath,8896,0.03,92543,4,4.91631434784143E-4
312642065473671,Tabitha's Wish,,yes,https://www.facebook.com/TabithasWish/,Community,TabithasWish,15,0.01,19826,4,3.479942379810878E-4
134502976712593,Grunt Mafia,,yes,https://www.facebook.com/GruntMafia/,Community,GruntMafia,794,0.04,30315,4,4.84485697544507E-4
130309593801285,Arms Advocate,,yes,https://www.facebook.com/ArmsAdvocate/,Nonprofit Organization,ArmsAdvocate,724,0.03,71119,4,3.991796929651654E-4
120921171336357,Harris County Sheriff's Office Explorer Post 43,,yes,https://www.facebook.com/HCSO.Post43/,Law Enforcement Agency,HCSO.Post43,3,0.0,1207,4,3.479942379810878E-4
226150060856955,Disgruntled Wear,,yes,https://www.facebook.com/disgruntledwear/,Clothing (Brand),disgruntledwear,1,0.0,1080,4,3.8341218355520404E-4
131340743659387,ReadyAimBid.com,,yes,https://www.facebook.com/ReadyAimBid/,Website,ReadyAimBid,22,0.0,18684,4,4.2101224552224274E-4
122376224539209,Operation Honor,,yes,https://www.facebook.com/OperationHonor/,Community,OperationHonor,2556,0.19,30119,4,3.629976071592625E-4
417576561609357,ASMDSS,,yes,https://www.facebook.com/ASMDSS/,Media/News Company,ASMDSS,144781,0.25,1374539,2,0.00416598769756789
343001075797034,Mel O D L'amour,,yes,https://www.facebook.com/talksickpinup/,Nonprofit Organization,talksickpinup,8,0.0,2843,4,3.479942379810878E-4
443510675698715,The Bomber Girls,,yes,https://www.facebook.com/TheBomberGirls/,Nonprofit Organization,TheBomberGirls,26,0.01,2452,4,3.479942379810878E-4
217573401719055,Acadiana Tactical Firearms & Training,,yes,https://www.facebook.com/AcadianaTactical/,Sports & Recreation,AcadianaTactical,169,0.19,1027,4,3.479942379810878E-4
159885590834061,"Rolling Thunder, Inc. National",,yes,https://www.facebook.com/Rolling-Thunder-Inc-National-159885590834061/,Nonprofit Organization,,2288,0.08,18488,4,3.479942379810878E-4
470740759654335,VFW Post 7016,,no,https://www.facebook.com/VFW-Post-7016-470740759654335/,Community Organization,,0,0.0,81,4,3.479942379810878E-4
152929121432080,We Love Veterans,,yes,https://www.facebook.com/WeLoveVeterans/,Cause,WeLoveVeterans,1,0.0,481,4,3.479942379810878E-4
293371780790085,Unsung Heroes,,yes,https://www.facebook.com/unsungheroesmovie/,Movie,unsungheroesmovie,2,0.0,3057,4,4.0907159839017216E-4
213059888835660,Chris Hoffert,,yes,https://www.facebook.com/ChrisHoffertFilm/,Film Director,ChrisHoffertFilm,5,0.01,586,4,3.479942379810878E-4
515363518475050,TacTissy,,yes,https://www.facebook.com/tactissy/,Public Figure,tactissy,227119,0.03,546199,4,5.899562930815208E-4
144748475550037,Team Depot,,yes,https://www.facebook.com/teamdepot/,Nonprofit Organization,teamdepot,751,0.04,133671,4,3.479942379810878E-4
169905616467863,Soldiers saving soldiers,,yes,https://www.facebook.com/soldiersandsaviors/,Community,soldiersandsaviors,607,0.01,19922,4,5.821050512915048E-4
184036844972059,High Ground,,yes,https://www.facebook.com/highgroundgear/,Shopping & Retail,highgroundgear,14,0.01,15566,4,3.897666120968338E-4
309033065805154,Michelle Viscusi,,yes,https://www.facebook.com/MichelleViscusi/,Athlete,MichelleViscusi,3770,0.03,394027,4,5.196517524339991E-4
201527576650688,The Right To Bear Arms,,yes,https://www.facebook.com/RTBA.Co/,Education,RTBA.Co,16447,0.02,1424642,4,4.074118178411255E-4
140859322734105,Geistsniper,,yes,https://www.facebook.com/Geistsniper/,Entrepreneur,Geistsniper,0,0.0,1182,4,3.479942379810878E-4
